"Datetime","Self_Id","Source_IP","SIM_Operator","App_Version","Result_Type","Download_Target","Download_Success","Download_Mbit_sec","Download_Bytes","Download_Usec","Upload_Target","Upload_Success","Upload_Mbit_sec","Upload_Bytes","Upload_Usec","Latency_Target","Latency_Success","Latency_Avg_Msec","Latency_Min_Msec","Latency_Max_Msec","Latency_Loss_Pct","Active_Interface_Type","Network_Operator","Roaming","GSM Signal","CDMA DBM"
"Wed Jun 12 23:21:12 EDT 2013","sprint - galaxy s3 - loaner","66.87.82.125","310120","1.24","manual_test","samknows2.nyc2.level3.net","true","0.733624","1393290","15193438","samknows2.nyc2.level3.net","true","0.126824","362496","22864795","samknows2.nyc2.level3.net","true","212.63","72.485","683.106","6%","mobile","Sprint","false","","-97",
"Thu Jun 13 07:32:47 EDT 2013","sprint - galaxy s3 - loaner","96.241.54.39","310120","1.24","manual_test","samknows2.nyc2.level3.net","true","18.929384","18350504","7755349","samknows2.nyc2.level3.net","true","22.303368","18350592","6582176","samknows2.nyc2.level3.net","true","40.127","18.495","111.796","0%","WIFI","Sprint","false","","-96",
"Thu Jun 13 07:56:19 EDT 2013","sprint - galaxy s3 - loaner","66.87.85.72","310120","1.24","manual_test","samknows2.nyc2.level3.net","true","0.28652","616472","17212389","samknows2.nyc2.level3.net","true","0.294064","578560","15739569","samknows2.nyc2.level3.net","true","607.454","470.898","1002.594","2.0833333333333%","mobile","Sprint","false","","-65",
"Thu Jun 13 08:00:39 EDT 2013","sprint - galaxy s3 - loaner","66.87.85.72","310120","1.24","manual_test","samknows2.nyc2.level3.net","true","0.081952","164372","16044163","samknows2.nyc2.level3.net","true","0.232648","577536","19859240","samknows2.nyc2.level3.net","true","486.256","70.013","1094.552","0%","mobile","Sprint","false","","-99",
"Thu Jun 13 11:26:25 EDT 2013","sprint - galaxy s3 - loaner","66.87.81.53","310120","1.24","manual_test","samknows2.nyc2.level3.net","false","0","0","0","samknows2.nyc2.level3.net","false","0","0","0","samknows2.nyc2.level3.net","false","0","0","0","","","Sprint","false","","-100",
"Thu Jun 13 14:29:56 EDT 2013","sprint - galaxy s3 - loaner","66.87.81.53","310120","1.24","scheduled_tests","samknows2.nyc2.level3.net","true","0.328768","637050","15501144","samknows2.nyc2.level3.net","true","0.799272","1553408","15548175","samknows2.nyc2.level3.net","true","451.329","74.805","1337.738","4.1666666666667%","mobile","Sprint","false","","-70",
"Fri Jun 14 07:36:20 EDT 2013","sprint - galaxy s3 - loaner","66.87.87.218","310120","1.24","scheduled_tests","samknows2.nyc2.level3.net","true","0.72248","1409730","15609736","samknows2.nyc2.level3.net","true","0.090544","268288","23702884","samknows2.nyc2.level3.net","true","228.029","79.688","1934.961","6.25%","mobile","Sprint","false","","-80",
"Fri Jun 14 07:47:31 EDT 2013","sprint - galaxy s3 - loaner","66.87.87.218","310120","1.24","manual_test","samknows2.nyc2.level3.net","true","0.441736","871320","15779856","samknows2.nyc2.level3.net","true","0.338592","774656","18302731","samknows2.nyc2.level3.net","true","127.707","67.266","561.056","3.7037037037037%","mobile","Sprint","false","","-97",
"Fri Jun 14 07:49:12 EDT 2013","sprint - galaxy s3 - loaner","66.87.87.218","310120","1.24","manual_test","samknows2.nyc2.level3.net","true","0.61744","1200120","15549579","samknows2.nyc2.level3.net","true","0.823216","1617408","15717808","samknows2.nyc2.level3.net","true","137.964","67.694","578.391","1.7543859649123%","mobile","Sprint","false","","-91",
"Fri Jun 14 07:51:04 EDT 2013","sprint - galaxy s3 - loaner","66.87.87.218","310120","1.24","manual_test","samknows2.nyc2.level3.net","true","1.56536","2949610","15074378","samknows2.nyc2.level3.net","true","0.055088","259072","37620265","samknows2.nyc2.level3.net","true","160.511","73.401","717.9","27.272727272727%","mobile","Sprint","false","","-76",
"Fri Jun 14 07:52:48 EDT 2013","sprint - galaxy s3 - loaner","66.87.87.218","310120","1.24","manual_test","samknows2.nyc2.level3.net","true","0.895064","1686470","15073402","samknows2.nyc2.level3.net","true","0.566904","1123840","15859118","samknows2.nyc2.level3.net","true","217.422","69.891","904.593","0%","mobile","Sprint","false","","-90",
"Fri Jun 14 08:43:16 EDT 2013","sprint - galaxy s3 - loaner","66.87.83.235","310120","1.24","manual_test","samknows2.nyc2.level3.net","false","0.190288","364420","15320739","samknows2.nyc2.level3.net","true","0.034856","81920","18799847","samknows2.nyc2.level3.net","true","209.094","51.426","990.508","13.636363636364%","mobile","Sprint","false","","-90",
"Fri Jun 14 08:45:17 EDT 2013","sprint - galaxy s3 - loaner","66.87.83.235","310120","1.24","manual_test","samknows2.nyc2.level3.net","true","1.450456","2753700","15188036","samknows2.nyc2.level3.net","true","0.759808","1510912","15908195","samknows2.nyc2.level3.net","true","109.239","44.315","622.707","3.921568627451%","mobile","Sprint","true","","-79",
"Fri Jun 14 08:47:12 EDT 2013","sprint - galaxy s3 - loaner","66.87.83.235","310120","1.24","manual_test","samknows2.nyc2.level3.net","true","0.170192","343870","16163589","samknows2.nyc2.level3.net","true","0.847304","1686016","15918807","samknows2.nyc2.level3.net","true","137.214","40.256","770.688","1.7857142857143%","mobile","Sprint","false","","-84",
"Fri Jun 14 08:48:51 EDT 2013","sprint - galaxy s3 - loaner","66.87.83.235","310120","1.24","manual_test","samknows2.nyc2.level3.net","true","0.666504","1257660","15095498","samknows2.nyc2.level3.net","true","1.022368","1984512","15528674","samknows2.nyc2.level3.net","true","151.056","42.392","690.004","0%","mobile","Sprint","false","","-91",
"Fri Jun 14 08:50:40 EDT 2013","sprint - galaxy s3 - loaner","66.87.83.235","310120","1.24","manual_test","samknows2.nyc2.level3.net","true","0.58272","1113810","15291011","samknows2.nyc2.level3.net","true","1.027248","1992704","15518723","samknows2.nyc2.level3.net","true","513.653","343.079","932.641","0%","mobile","Sprint","false","","-71",
"Fri Jun 14 09:15:17 EDT 2013","sprint - galaxy s3 - loaner","66.87.80.82","310120","1.24","scheduled_tests","samknows2.nyc2.level3.net","true","0.99596","1878270","15087105","samknows2.nyc2.level3.net","true","0.824216","1689088","16394598","samknows2.nyc2.level3.net","true","97.506","48.527","551.014","0%","mobile","Sprint","false","","-98",
"Fri Jun 14 12:53:41 EDT 2013","sprint - galaxy s3 - loaner","66.87.9.166","310120","1.24","manual_test","samknows2.nyc2.level3.net","false","0","0","0","samknows2.nyc2.level3.net","true","0.01072","53760","40093494","samknows2.nyc2.level3.net","true","1181.977","825.453","1538.501","84.615384615385%","mobile","Sprint","false","","-80",
"Fri Jun 14 13:06:30 EDT 2013","sprint - galaxy s3 - loaner","66.87.9.23","310120","1.24","manual_test","samknows2.nyc2.level3.net","false","0.04756","135630","22810499","samknows2.nyc2.level3.net","true","0.311744","698368","17921439","samknows2.nyc2.level3.net","true","151.192","80.665","920.463","1.9230769230769%","mobile","Sprint","false","","-91",
"Fri Jun 14 13:24:06 EDT 2013","sprint - galaxy s3 - loaner","66.87.9.23","310120","1.24","manual_test","samknows2.nyc2.level3.net","true","0.204976","457580","17858540","samknows2.nyc2.level3.net","true","0.15724","368640","18755531","samknows2.nyc2.level3.net","true","272.54","73.95","1222.066","15.384615384615%","mobile","Sprint","false","","-83",
"Fri Jun 14 13:26:59 EDT 2013","sprint - galaxy s3 - loaner","66.87.9.23","310120","1.24","manual_test","samknows2.nyc2.level3.net","false","0","0","0","samknows2.nyc2.level3.net","true","0.151432","352768","18635587","samknows2.nyc2.level3.net","true","203.635","80.421","1040.714","3.8461538461538%","mobile","Sprint","false","","-85",
"Fri Jun 14 13:29:08 EDT 2013","sprint - galaxy s3 - loaner","66.87.9.23","310120","1.24","manual_test","samknows2.nyc2.level3.net","false","0","0","0","samknows2.nyc2.level3.net","true","0.023952","151040","50437204","samknows2.nyc2.level3.net","true","240.118","75.843","1266.168","1.8518518518519%","mobile","Sprint","false","","-85",
"Fri Jun 14 13:31:24 EDT 2013","sprint - galaxy s3 - loaner","66.87.9.23","310120","1.24","manual_test","samknows2.nyc2.level3.net","true","0.488664","969960","15879292","samknows2.nyc2.level3.net","true","0.962296","1894912","15753212","samknows2.nyc2.level3.net","true","172.646","82.527","706.79","0%","mobile","Sprint","false","","-89",
"Fri Jun 14 13:34:16 EDT 2013","sprint - galaxy s3 - loaner","66.87.9.23","310120","1.24","manual_test","samknows2.nyc2.level3.net","true","1.37892","2593410","15046025","samknows2.nyc2.level3.net","true","0.816192","1580544","15491743","samknows2.nyc2.level3.net","true","221.542","70.685","1251.915","0%","mobile","Sprint","false","","-71",
"Fri Jun 14 14:03:59 EDT 2013","sprint - galaxy s3 - loaner","65.125.25.71","310120","1.24","manual_test","samknows2.nyc2.level3.net","false","0","0","0","samknows2.nyc2.level3.net","false","0","0","0","samknows2.nyc2.level3.net","false","0","0","0","100%","mobile","Sprint","false","","-66",
"Fri Jun 14 17:23:46 EDT 2013","sprint - galaxy s3 - loaner","66.87.84.133","310120","1.24","scheduled_tests","samknows2.nyc2.level3.net","false","0.109488","295920","21621608","samknows2.nyc2.level3.net","true","0.135264","542208","32066532","samknows2.nyc2.level3.net","true","296.435","68.548","1338.745","15.789473684211%","mobile","Sprint","false","","-65",
"Fri Jun 14 17:25:11 EDT 2013","sprint - galaxy s3 - loaner","66.87.84.133","310120","1.24","manual_test","samknows2.nyc2.level3.net","true","1.116576","2097470","15027804","samknows2.nyc2.level3.net","true","0.336976","698368","16579429","samknows2.nyc2.level3.net","true","236.323","71.478","1523.088","1.8518518518519%","mobile","Sprint","false","","-88",
"Sat Jun 15 10:09:04 EDT 2013","sprint - galaxy s3 - loaner","96.241.54.39","310120","1.24","scheduled_tests","samknows2.nyc2.level3.net","true","22.409784","18141992","6476454","samknows2.nyc2.level3.net","true","22.1036","18350592","6641665","samknows2.nyc2.level3.net","true","46.837","31.853","147.035","0%","WIFI","Sprint","false","","-94",
"Sat Jun 15 17:39:17 EDT 2013","sprint - galaxy s3 - loaner","96.241.54.39","310120","1.24","scheduled_tests","samknows2.nyc2.level3.net","true","22.784472","17745240","6230643","samknows2.nyc2.level3.net","true","22.869096","18350592","6419350","samknows2.nyc2.level3.net","true","46.621","35.373","140.332","0%","WIFI","Sprint","false","","-94",
